You cannot create new settings while a Production CSID is already configured.,لا يمكن إنشاء إعدادات جديدة طالما أن معرف الإنتاج مضاف مسبقًا
Pending Activation,قيد التفعيل
ZATCA integration has been successfully withdrawn.,تم سحب تكامل هيئة الزكاة والضريبة والجمارك بنجاح
Withdrawn Successfully,تم السحب بنجاح
Are you sure you want to withdraw the ZATCA integration? This action is permanent and will require reactivation.,هل أنت متأكد أنك تريد سحب تكامل هيئة الزكاة والضريبة والجمارك؟ هذا الإجراء دائم وسيتطلب إعادة التفعيل.
Withdraw,سحب
Initiate New ZATCA Settings,بدء إعدادات هيئة الزكاة والضريبة والجمارك الجديدة
<p>This will create a new Sales Invoice Additional Fields document for the invoice '{0}' and submit it to ZATCA. <strong>Make sure you have updated any bad configuration that lead to the initial rejection</strong>.</p><p>Do you want to proceed?</p>,<p>سيقوم هذا بإنشاء مستند حقول إضافية جديد للفاتورة '{0}' وإرساله إلى هيئة الزكاة والضريبة والجمارك (ZATCA). <strong>تأكد من أنك حدّثت أي إعداد خاطئ أدى إلى الرفض الأولي</strong>.</p><p>هل تريد المتابعة؟</p>
"<pre style=""display:inline;"">JAVA_HOME</pre> path used for running the CLI. Leave blank to use the default system Java installation","مسار <pre style=""display:inline;"">JAVA_HOME</pre> المستخدم لتشغيل CLI. اتركه فارغًا لاستخدام تثبيت Java الافتراضي في النظام"
Accepted,مقبول
Accepted with warnings,مقبول مع تحذيرات
Active,نشط
Additional Buyer IDs,معرفات إضافية للمشتري
Additional IDs,معرفات إضافية
Additional Number,رقم إضافي
Additional Seller IDs,معرفات إضافية للبائع
Additional Street,شارع إضافي
Additional Street Name,اسم شارع إضافي
Address,العنوان
Administrator,مدير
Allowance Indicator,مؤشر الخصم
Allowance VAT Category Code,رمز فئة ضريبة القيمة المضافة للخصم
Amended From,معدل من
Automatic,تلقائي
Automatic Setup Configuration,إعداد تلقائي للتكوين
Batches,دفعات
Both,كلاهما
Building Number,رقم المبنى
Business Settings,إعدادات العمل
Business Settings ID Reference,مرجع معرف إعدادات العمل
Buyer,المشتري
Buyer Address Details,تفاصيل عنوان المشتري
Buyer ID,معرف المشتري
Buyer VAT Registration Number,رقم تسجيل ضريبة القيمة المضافة للمشتري
CLI,واجهة الأوامر (CLI)
CLI Path,مسار CLI
CLI Setup,إعداد CLI
CSR,طلب توقيع شهادة (CSR)
Charge Indicator,مؤشر الرسوم
Charge VAT Category Code,رمز فئة ضريبة القيمة المضافة للرسوم
Check ZATCA CLI,تحقق من ZATCA CLI
City,مدينة
Clearance switched off,تم إيقاف وضع التخليص
Code for Allowance Reason,رمز سبب الخصم
Company,شركة
Company Address,عنوان الشركة
Company Category,فئة الشركة
Company Unit,وحدة الشركة
Company Unit Serial,الرقم التسلسلي لوحدة الشركة
Compliance API Error,خطأ في واجهة برمجة الامتثال
Compliance Request ID,معرف طلب الامتثال
Configuration,الإعداد
Corrected,مصحح
Could not find signed XML,تعذر العثور على XML موقّع
Country,الدولة
Country Code,رمز الدولة
Currency,العملة
Device ID,معرّف الجهاز
Disabled,معطل
District,الحي
Document Level,مستوى المستند
Documentation,التوثيق
Download XML,تنزيل XML
Download and Set Up ZATCA CLI,تنزيل وإعداد ZATCA CLI
E-invoice File,ملف الفاتورة الإلكترونية
EGS Type,نوع جهاز EGS
"EGS/device identifier. For ERPNext, enter ""ERPNext"" or similar. For POS devices, enter the POS device ID shown in LavaDo. <br>
From the home screen: Settings (gear button top-left/right) -&gt; More Info and look for the device ID","معرّف الجهاز/EGS. في ERPNext أدخل ""ERPNext"" أو ما شابه. لأجهزة نقاط البيع (POS) أدخل معرّف جهاز POS الظاهر في LavaDo. <br>من الشاشة الرئيسية: الإعدادات (زر الترس أعلى اليسار/اليمين) ← معلومات أكثر وابحث عن معرّف الجهاز"
EInvoicing Sync,مزامنة الفوترة الإلكترونية
Enable ZATCA Integration,تفعيل تكامل ZATCA
Errors,أخطاء
Fatoora Server URL,رابط خادم فاتورة
Fix Rejection,إصلاح الرفض
"Format: <pre style=""display:inline;"">1-Solution Provider Name|2-Model or version|3-Serial</pre>
<br>
Example: <pre style=""display:inline;"">1-ERPNext|2-15|3-1</pre>","الصيغة: <pre style=""display:inline;"">1-اسم مزود الحل|2-الطراز أو الإصدار|3-التسلسل</pre><br>مثال: <pre style=""display:inline;"">1-ERPNext|2-15|3-1</pre>"
"Format: <pre style=""display:inline;"">1-Solution Provider Name|2-Model or version|3-Serial</pre>
<br>
Example: <pre style=""display:inline;"">1-ERPNext|2-15|3-1</pre> or <br><pre style=""display:inline;"">1-Sunmi|2-Sunmi Pro v2s|3-V222201B00815</pre>","الصيغة: <pre style=""display:inline;"">1-اسم مزود الحل|2-الطراز أو الإصدار|3-التسلسل</pre><br>مثال: <pre style=""display:inline;"">1-ERPNext|2-15|3-1</pre> أو <br><pre style=""display:inline;"">1-Sunmi|2-Sunmi Pro v2s|3-V222201B00815</pre>"
Generate a CSR and make a compliance CSID request through ZATCA.,أنشئ CSR وقدّم طلب CSID للتوافق عبر ZATCA.
Get Production CSID,احصل على CSID للإنتاج
"If enabled, validates the generated ZATCA XML when creating Sales Invoice Additional Fields. This has a performance impact, so it's recommended to enable only for testing or troubleshooting problems.","عند التفعيل، يجري التحقق من صحة ملف XML الخاص بـ ZATCA عند إنشاء الحقول الإضافية للفاتورة. قد يؤثر ذلك على الأداء، لذا يُنصح بتفعيله للاختبار أو استكشاف الأخطاء فقط."
"If left empty, JRE 11 will be downloaded from <a href=""https://github.com/adoptium/temurin11-binaries/releases/download/jdk-11.0.23%2B9/OpenJDK11U-jre_x64_linux_hotspot_11.0.23_9.tar.gz"">https://github.com/adoptium/temurin11-binaries/releases/download/jdk-11.0.23+9/OpenJDK11U-jre_x64_linux_hotspot_11.0.23_9.tar.gz</a>","إذا تُرك فارغًا، سيتم تنزيل JRE 11 من <a href=""https://github.com/adoptium/temurin11-binaries/releases/download/jdk-11.0.23%2B9/OpenJDK11U-jre_x64_linux_hotspot_11.0.23_9.tar.gz"">هذا الرابط</a>"
"If left empty, the CLI will be downloaded from <a href=""https://github.com/lavaloon-eg/zatca-cli/releases/download/2.0.0/zatca-cli-2.0.0.zip"">https://github.com/lavaloon-eg/zatca-cli/releases/download/2.0.0/zatca-cli-2.0.0.zip</a>","إذا تُرك فارغًا، سيتم تنزيل CLI من <a href=""https://github.com/lavaloon-eg/zatca-cli/releases/download/2.0.0/zatca-cli-2.0.0.zip"">هذا الرابط</a>"
Integration,تكامل
Integration Status,حالة التكامل
Invoice,فاتورة
Invoice Additional Fields Reference,مرجع الحقول الإضافية للفاتورة
Invoice Counter,عداد الفواتير
Invoice Hash,بصمة الفاتورة
Invoice Line Allowance Reason,سبب خصم بند الفاتورة
Invoice Line Allowance Reason Code,رمز سبب خصم بند الفاتورة
Invoice Line Charge Amount,قيمة رسم بند الفاتورة
Invoice Line Charge Base Amount,قيمة الأساس لرسم بند الفاتورة
Invoice Line Charge Base Amount Reason,سبب قيمة الأساس لرسم بند الفاتورة
Invoice Line Charge Base Amount Reason Code,رمز سبب قيمة الأساس لرسم بند الفاتورة
Invoice Line Charge Indicator,مؤشر رسم بند الفاتورة
Invoice Line Charge Percentage,نسبة رسم بند الفاتورة
Invoice QR,رمز QR للفاتورة
Invoice Reference,مرجع الفاتورة
Invoice Type Code,رمز نوع الفاتورة
Invoice Type Transaction,معاملة نوع الفاتورة
Invoice UUID,معرّف الفاتورة (UUID)
Invoice XML,ملف XML للفاتورة
Java Home,مسار Java Home
KSA Compliance,الامتثال في المملكة العربية السعودية
Last Attempt,آخر محاولة
Let the system decide (both),دع النظام يقرر (كلاهما)
Live,مباشر
Manual,يدوي
Number of invoices for each business settings doc.,عدد الفواتير لكل مستند إعدادات عمل
OTP,رمز تحقق لمرة واحدة
Onboard,بدء الإعداد
Onboarding,الإعداد الأولي
Onboarding completed successfully,اكتمل الإعداد الأولي بنجاح
Other Buyer IDs,معرفات أخرى للمشتري
Override CLI Download URL,تجاوز رابط تنزيل CLI
Override JRE Download URL,تجاوز رابط تنزيل JRE
POS Device,جهاز نقاط البيع
Payment Means Type Code,رمز نوع وسيلة الدفع
Pending,معلق
Perform Compliance Checks,إجراء فحوصات الامتثال
Please Onboard first to generate a compliance request ID,يرجى إكمال الإعداد الأولي أولًا لإنشاء معرف طلب الامتثال
Please choose a Tax Category,يرجى اختيار فئة الضريبة
Please configure 'Fatoora Server URL',يرجى إعداد 'رابط خادم فاتورة'
Please configure 'Zatca CLI Path',يرجى إعداد 'مسار ZATCA CLI'
Please onboard first to generate a 'Compliance Request ID',يرجى إكمال الإعداد الأولي أولًا لإنشاء 'معرّف طلب الامتثال'
Please wait...,يرجى الانتظار...
Postal Code,الرمز البريدي
Precomputed,محسوب مسبقًا
Precomputed Invoice,فاتورة محسوبة مسبقًا
Prepayment ID,معرّف الدفعة المقدمة
Prepayment Issue Date,تاريخ إصدار الدفعة المقدمة
Prepayment Issue Time,وقت إصدار الدفعة المقدمة
Prepayment Type Code,رمز نوع الدفعة المقدمة
Prepayment UUID,معرّف الدفعة المقدمة (UUID)
Prepayment VAT Category Tax Amount,قيمة ضريبة فئة الدفعة المقدمة
Prepayment VAT Category Taxable Amount,المبلغ الخاضع للضريبة لفئة الدفعة المقدمة
Previous Invoice Hash,بصمة الفاتورة السابقة
Previous invoice hash for each business settings doc,بصمة الفاتورة السابقة لكل مستند إعدادات عمل
Production CSID Error,خطأ CSID للإنتاج
Production CSID generated successfully,تم إنشاء CSID للإنتاج بنجاح
Production Request ID,معرّف طلب الإنتاج
Production Secret,المفتاح السري للإنتاج
Production Security Token,رمز الأمان للإنتاج
Province/State,المحافظة/الولاية
QR Code,رمز الاستجابة السريعة (QR)
QR Code Image,صورة رمز QR
Qr Image Source,مصدر صورة QR
Ready For Batch,جاهز للدفعة
Reason for Allowance,سبب الخصم
Reason for Charge,سبب الرسم
Reason for Charge Code,رمز سبب الرسم
Registration Type,نوع التسجيل
Rejected,مرفوض
Reload,تحديث
Resend,إعادة إرسال
Sales Invoice,فاتورة مبيعات
Sales Invoice Additional Fields,حقول إضافية لفاتورة المبيعات
Secret,سر
Security Token,رمز أمني
Select a date first.,اختر تاريخًا أولًا.
Seller Details,تفاصيل البائع
Seller ID,معرّف البائع
Seller Name,اسم البائع
Simplified Tax Invoice,فاتورة ضريبية مبسطة
Simplified Tax Invoices,فواتير ضريبية مبسطة
Standard Tax Invoice,فاتورة ضريبية قياسية
Standard Tax Invoices,فواتير ضريبية قياسية
Start Invoices Syncing....,بدء مزامنة الفواتير....
Status,الحالة
Street,الشارع
Street Name,اسم الشارع
Success,نجاح
Sum of Allowances,إجمالي الخصومات
Sum of Charges,إجمالي الرسوم
Supply End Date,تاريخ انتهاء التوريد
Sync Invoices,مزامنة الفواتير
Sync with ZATCA,المزامنة مع ZATCA
Tax Category Missing,فئة الضريبة مفقودة
Tax Currency,عملة الضريبة
Sandbox,بيئة الاختبار (Sandbox)
Simulation,بيئة المحاكاة (Simulation)
Production,بيئة الإنتاج (Production)
Sandbox: ZATCA test environment,بيئة اختبار ZATCA
Simulation: Test environment requires OTP from Fatoorah platform,بيئة اختبار تتطلب رمز تحقق (OTP) من منصة فاتورة
Production: ZATCA production enviroment,بيئة الإنتاج الخاصة بـ ZATCA
"The URL for the ZATCA server to use. Use <pre style=""display:inline;"">https://gw-fatoora.zatca.gov.sa/e-invoicing/developer-portal/</pre> for the ZATCA sandbox (testing)","رابط خادم ZATCA المستخدم. استعمل <pre style=""display:inline;"">https://gw-fatoora.zatca.gov.sa/e-invoicing/developer-portal/</pre> لبيئة الاختبار (Sandbox)"
The generated and signed invoice XML sent to ZATCA,ملف XML المولّد والموقّع للفاتورة المُرسل إلى ZATCA
"The path to the executable for ZATCA CLI, e.g.<br>
<pre style=""display:inline;"">/home/frappe/zatca-cli/bin/zatca-cli</pre>","مسار الملف التنفيذي لـ ZATCA CLI، مثال:<br><pre style=""display:inline;"">/home/frappe/zatca-cli/bin/zatca-cli</pre>"
This Action Is Not Allowed,هذا الإجراء غير مسموح
Type Code,رمز النوع
Type Name,اسم النوع
Type Of Transaction,نوع المعاملة
Type of Business Transactions,نوع معاملات الأعمال
UUID,معرّف UUID
Unit Common Name,الاسم الشائع للوحدة
Unit Serial,الرقم التسلسلي للوحدة
"Use the compliance request from onboarding to get a production CSID from ZATCA, using which invoices can be submitted to ZATCA through reporting or clearance APIs.","استخدم طلب الامتثال الناتج من الإعداد الأولي للحصول على CSID للإنتاج من ZATCA، والذي من خلاله يمكن إرسال الفواتير عبر واجهات التقارير أو التخليص."
Use the compliance request from onboarding to perform compliance checks for the different invoice types. This is a prerequisite to retrieving a production CSID,استخدم طلب الامتثال من الإعداد الأولي لإجراء فحوصات الامتثال لأنواع الفواتير المختلفة. هذا شرط مسبق للحصول على CSID للإنتاج
VAT Exemption Reason Code,رمز سبب الإعفاء من الضريبة
VAT Exemption Reason Text,نص سبب الإعفاء من الضريبة
VAT Registration Number,رقم التسجيل الضريبي
Validate Generated XML,تحقق من XML المُنشأ
Validation,التحقق
Value,القيمة
Vat Registration Number,رقم التسجيل الضريبي
XML,XML
You cannot Delete a configured ZATCA Business Settings,لا يمكنك حذف إعدادات أعمال ZATCA المكوّنة
You cannot Delete a configured ZATCA EGS,لا يمكنك حذف جهاز ZATCA EGS المكوّن
You cannot Delete a configured ZATCA Precomputed Invoice,لا يمكنك حذف فاتورة ZATCA محسوبة مسبقًا تم إعدادها
You cannot cancel sales invoice according to ZATCA Regulations.,لا يمكنك إلغاء فاتورة المبيعات وفقًا للوائح ZATCA
You cannot delete a configured Invoice Counting Settings,لا يمكنك حذف إعدادات عدّ الفواتير المُكوّنة
ZATCA Business Settings,إعدادات أعمال ZATCA
ZATCA Business Settings Reference,مرجع إعدادات أعمال ZATCA
ZATCA EGS,جهاز ZATCA EGS
ZATCA Integration Log,سجل تكامل ZATCA
ZATCA Invoice Counting Settings,إعدادات عدّ فواتير ZATCA
ZATCA Message,رسالة ZATCA
ZATCA Phase 1 Business Settings,إعدادات أعمال ZATCA للمرحلة 1
ZATCA Precomputed Invoice,فاتورة ZATCA محسوبة مسبقًا
ZATCA Status,حالة ZATCA
{0} does not exist or is not a file,{0} غير موجود أو ليس ملفًا
Standard rate,التوريدات الخاضعة للضريبة
Services outside scope of tax / Not subject to VAT || {manual entry},خدمات خارج نطاق الضريبة / غير خاضعة لضريبة القيمة المضافة || {إدخال يدوي}
Exempt from Tax || Financial services mentioned in Article 29 of the VAT Regulations,معفى من الضريبة || الخدمات المالية المذكورة في المادة 29 من اللائحة
Exempt from Tax || Life insurance services mentioned in Article 29 of the VAT Regulations,معفى من الضريبة || خدمات التأمين على الحياة المذكورة في المادة 29
Exempt from Tax || Real estate transactions mentioned in Article 30 of the VAT Regulations,معفى من الضريبة || التعاملات العقارية المذكورة في المادة 30 من اللائحة
Zero rated goods || Export of goods,توريد بنسبة صفر || تصدير السلع
Zero rated goods || Export of services,توريد بنسبة صفر || تصدير الخدمات
Zero rated goods || The international transport of Goods,توريد بنسبة صفر || النقل الدولي للسلع
Zero rated goods || International transport of passengers,توريد بنسبة صفر || النقل الدولي للركاب
Zero rated goods || Services directly connected and incidental to a Supply of international passenger transport,توريد بنسبة صفر || خدمات مرتبطة مباشرة أو عرضيًا بتوريد النقل الدولي للركاب
Zero rated goods || Supply of a qualifying means of transport,توريد بنسبة صفر || توريد وسيلة نقل مؤهّلة
Zero rated goods || Any services relating to Goods or passenger transportation as defined in article twenty five of these Regulations,توريد بنسبة صفر || خدمات متعلقة بنقل السلع أو الركاب وفق المادة 25 من اللائحة
Zero rated goods || Medicines and medical equipment,توريد بنسبة صفر || الأدوية والمعدات الطبية
Zero rated goods || Qualifying metals,توريد بنسبة صفر || معادن مؤهلة
Zero rated goods || Private education to citizen,توريد بنسبة صفر || تعليم خاص للمواطنين
Zero rated goods || Private healthcare to citizen,توريد بنسبة صفر || رعاية صحية خاصة للمواطنين
Zero rated goods || Supply of qualified military goods,توريد بنسبة صفر || توريد السلع العسكرية المؤهلة
Customer does not have VAT registration Number,ليس لدى العميل رقم تسجيل ضريبة القيمة المضافة
Standard Tax Invoice Credit Note,إشعار دائن للفاتورة الضريبية
Standard Tax Invoice Debit Note,إشعار مدين للفاتورة الضريبية
Simplified Tax Invoice Credit Note,إشعار دائن للفاتورة الضريبية المبسطة
Simplified Tax Invoice Debit Note,إشعار مدين للفاتورة الضريبية المبسطة
Standard Tax Invoice,فاتورة ضريبية
Simplified Tax Invoice,فاتورة ضريبية مبسطة
Posting Date,تاريخ إصدار الفاتورة
Seller Name,اسم البائع
Address,عنوان المنشأة
Vat Registration Number,رقم التسجيل الضريبي
Buyer Name,اسم المشتري
Commercial Registration Number,السجل التجاري
Products,المنتجات
Unit Price,سعر الوحدة
Quantity,الكمية
VAT %,نسبة الضريبة
VAT Amount,ضريبة القيمة المضافة
Total With VAT,المجموع مع الضريبة
Invoice ID,رقم الفاتورة
Return Against,رقم المرجع للفاتورة
Subtotal Before Tax,المجموع الفرعي قبل الضريبة
Total Taxable Amount,إجمالي المبلغ الخاضع للضريبة
Return/Debit Reason,سبب المرتجع/الخصم
Branch is mandatory when ZATCA Branch configuration is enabled,الفرع إلزامي عند تفعيل إعدادات فرع ZATCA
Branch Is Mandatory,الفرع إلزامي
Selected branch $branch is not configured for company: $company,الفرع $branch غير مهيأ للشركة: $company
Invalid Branch For Company,الفرع المحدد لا يتبع الشركة
Commercial registration number is mandatory for branch,رقم السجل التجاري إلزامي للفرع
Mandatory CRN Error,خطأ: رقم السجل التجاري إلزامي
Mandatory CRN,رقم السجل التجاري إلزامي
CRN is mandatory when ZATCA branch configuration is enabled for company,رقم السجل التجاري إلزامي عند تفعيل إعداد فرع ZATCA للشركة
This CRN is configured for branch,هذا الرقم التجاري (CRN) مهيأ للفرع
Duplicate CRN Error,خطأ: رقم السجل التجاري (CRN) مكرر
Please update ZATCA CLI to $version or later to support PDF/A-3b generation,يرجى تحديث ZATCA CLI إلى الإصدار $version أو أحدث لدعم إنشاء PDF/A-3b
MOMRAH License,رخصة وزارة الشؤون البلدية (MOMRAH)
MHRSD License,رخصة وزارة الموارد البشرية (MHRSD)
700 Number,رقم 700
MISA License,رخصة وزارة الاستثمار (MISA)
Other ID,معرف آخر
Tax Identification Number,رقم التعريف الضريبي
National ID,الهوية الوطنية
GCC ID,هوية مجلس التعاون الخليجي
Iqama,الإقامة
Passport ID,جواز السفر
Prepayment VAT Rate,معدل ضريبة القيمة المضافة للدفعة المقدمة
Prepayment Subtotal (Exclusive of VAT),المجموع الفرعي للدفعة المقدمة (غير شامل الضريبة)
Prepayment VAT Amount,مبلغ ضريبة القيمة المضافة للدفعة المقدمة
Total Prepayment Amount,إجمالي مبلغ الدفعة المقدمة
Advance Payment Reference,الرقم المرجعي للدفعة المقدمة
Changing this setting requires redoing the onboarding process, starting from CSR generation.,تغيير هذا الإعداد يتطلب إعادة عملية الإعداد الأولي بدءًا من إنشاء CSR.
ZATCA Phase 2 Business Settings already enabled for company {0}: {1},تم تفعيل إعدادات الأعمال الخاصة بالمرحلة الثانية من ZATCA للشركة بالفعل {0}: {1}
Another Setting Already Enabled,إعداد آخر تم تمكينه بالفعل
"Cannot duplicate configuration: Company {0} already has {1} settings: {2}. Please withdraw or complete the existing configuration first.","لا يمكن تكرار الإعداد: الشركة {0} لديها بالفعل إعدادات {1}: {2}. يرجى سحب أو إكمال الإعداد الحالي أولاً."
"To date must be after From date. error_code='InvalidDateRange', code=400","يجب أن يكون تاريخ "إلى" بعد تاريخ "من". error_code='InvalidDateRange', code=400"
Number of records,عدد السجلات
Zatca Integration Status,حالة تكامل زاتكا
Total Number of invoices,إجمالي عدد الفواتير
Net Total Amount,المبلغ الإجمالي الصافي
VAT Total Amount,إجمالي مبلغ ضريبة القيمة المضافة
Grand Total Amount,المبلغ الإجمالي الكلي
You cannot cancel {0} according to ZATCA Advance Invoice {1}.,لا يمكنك إلغاء {0} وفقًا لفواتير ZATCA المسبقة {1}.
You cannot cancel {0} according to ZATCA Regulations.,لا يمكنك إلغاء {0} وفقًا للوائح ZATCA.
Please include tax rate in Sales Taxes and Charges Table,يرجى إدراج معدل الضريبة في قالب الضرائب والرسوم على المبيعات
Validation Error,خطأ التحقق
Advance payment invoices must include only the advance payment item,يجب أن تتضمن فواتير الدفع المسبق بند الدفع المسبق فقط
Advance payment invoices can not include Advance Payments,لا يمكن أن تتضمن فواتير الدفع المسبق الدفعات المسبقة.
Cant Return Invoice Having Advance Payment,لا يمكن إرجاع الفاتورة التي تحتوي على دفعة مقدمة
Cant Return exceeds the outstanding amount {0} of Advance Invoice,لا يمكن إرجاع المبلغ الذي يتجاوز المبلغ المستحق {0} من الفاتورة المقدمة
Cant Add Advance Payments Invoices Entries On POS Invoice,لا يمكن إضافة إدخالات فواتير الدفع المسبق على فاتورة نقطة البيع
Reference No and Reference Date are required for Bank accounts.,رقم المرجع وتاريخ المرجع مطلوبان لحسابات البنك.
Cant UNRreconcile From Advance Payment Entry,لا يمكن إلغاء التوفيق بين إدخال الدفع المسبق
"Cant UNRreconcile {0}, Its Payed from Advance Payment Entry","لا يمكن إلغاء تسوية {0}، فقد تم دفعها من إدخال الدفع المسبق"
Cannot create return for consolidated invoice {0}.,لا يمكن إنشاء إرجاع للفاتورة الموحدة {0}.
Cannot Create Return,لا يمكن إنشاء الإرجاع
{0} does not exist or is not a file,{0} غير موجود أو ليس ملفًا
